Pixel at (0, 0): 205	 negate:false occ: 0.196078431372549
Pixel at (0, 1): 205	 negate:false occ: 0.196078431372549
Pixel at (0, 2): 205	 negate:false occ: 0.196078431372549
Pixel at (0, 3): 205	 negate:false occ: 0.196078431372549
Pixel at (0, 4): 205	 negate:false occ: 0.196078431372549
Pixel at (0, 5): 205	 negate:false occ: 0.196078431372549
Pixel at (0, 6): 205	 negate:false occ: 0.196078431372549
Pixel at (0, 7): 205	 negate:false occ: 0.196078431372549
Pixel at (0, 8): 205	 negate:false occ: 0.196078431372549
Pixel at (0, 9): 205	 negate:false occ: 0.196078431372549
Pixel at (0, 10): 205	 negate:false occ: 0.196078431372549
Pixel at (0, 11): 205	 negate:false occ: 0.196078431372549
Pixel at (0, 12): 205	 negate:false occ: 0.196078431372549
Pixel at (0, 13): 205	 negate:false occ: 0.196078431372549
Pixel at (0, 14): 205	 negate:false occ: 0.196078431372549
Pixel at (0, 15): 205	 negate:false occ: 0.196078431372549
Pixel at (0, 16): 205	 negate:false occ: 0.196078431372549
Pixel at (0, 17): 205	 negate:false occ: 0.196078431372549
Pixel at (0, 18): 205	 negate:false occ: 0.196078431372549
Pixel at (0, 19): 205	 negate:false occ: 0.196078431372549
Pixel at (0, 20): 205	 negate:false occ: 0.196078431372549
Pixel at (0, 21): 205	 negate:false occ: 0.196078431372549
Pixel at (0, 22): 205	 negate:false occ: 0.196078431372549
Pixel at (0, 23): 205	 negate:false occ: 0.196078431372549
Pixel at (0, 24): 205	 negate:false occ: 0.196078431372549
Pixel at (0, 25): 205	 negate:false occ: 0.196078431372549
Pixel at (0, 26): 205	 negate:false occ: 0.196078431372549
Pixel at (0, 27): 205	 negate:false occ: 0.196078431372549
Pixel at (0, 28): 205	 negate:false occ: 0.196078431372549
Pixel at (0, 29): 205	 negate:false occ: 0.196078431372549
Pixel at (0, 30): 0	 negate:false occ: 1
Pixel at (0, 31): 0	 negate:false occ: 1
Pixel at (0, 32): 0	 negate:false occ: 1
Pixel at (0, 33): 0	 negate:false occ: 1
Pixel at (0, 34): 0	 negate:false occ: 1
Pixel at (0, 35): 0	 negate:false occ: 1
Pixel at (0, 36): 0	 negate:false occ: 1
Pixel at (0, 37): 0	 negate:false occ: 1
Pixel at (0, 38): 0	 negate:false occ: 1
Pixel at (0, 39): 0	 negate:false occ: 1
